,2020-11-24
ABEV3.SA,0.15667513565060232
ALPA4.SA,2.0618828298631753
ALSO3.SA,0.7786160702043156
AMAR3.SA,1.0175980038498205
AZUL4.SA,1.3247158805478338
B3SA3.SA,1.6230092978096307
BBAS3.SA,0.7934839598130398
BBDC3.SA,0.5560041951856313
BBDC4.SA,0.7074109999811596
BBSE3.SA,0.549628763015768
BEEF3.SA,0.2715085714374591
BIDI4.SA,1.6637075696990322
BPAC11.SA,2.1416973341575307
BPAN4.SA,2.9098356605009412
BRAP4.SA,1.9240840209671963
BRDT3.SA,0.8000784272660016
BRFS3.SA,-0.3597672619813238
BRKM5.SA,0.37991936208522215
BRML3.SA,0.4248543833510827
BTOW3.SA,2.7121088767666706
CCRO3.SA,0.3389434595286136
CESP6.SA,1.063052120510127
CIEL3.SA,-1.119033336092337
CMIG4.SA,1.1021962495199003
CNTO3.SA,1.2160633892737143
COGN3.SA,-0.31542716048742303
CPFE3.SA,0.4955140284222025
CPLE6.SA,1.4117102866996698
CRFB3.SA,0.4762635296591977
CSAN3.SA,1.1852038625146815
CSMG3.SA,0.8915793149970669
CSNA3.SA,1.5608496294062213
CVCB3.SA,0.44357535341634324
CYRE3.SA,1.6291762579684785
DTEX3.SA,1.5872962018257315
ECOR3.SA,0.9277844946576159
EGIE3.SA,0.8998113304711615
ELET3.SA,1.3004495792428774
ELET6.SA,1.0837893275690886
EMBR3.SA,-0.17473368743421103
ENBR3.SA,0.6822080123875223
ENEV3.SA,1.8543011190706202
ENGI11.SA,1.0906844068502626
EQTL3.SA,0.9193078929215001
EZTC3.SA,1.7932460223012243
FLRY3.SA,0.7883653659394877
GGBR4.SA,1.2114532299353546
GNDI3.SA,1.5367055126942712
GOAU4.SA,1.2979207307377536
GOLL4.SA,2.750036814688113
HAPV3.SA,1.1913321569146667
HGTX3.SA,1.9501858583929974
HYPE3.SA,0.556717320243903
IGTA3.SA,0.6794774679160988
IRBR3.SA,0.4102779420663366
ITSA4.SA,0.8001742924542979
ITUB4.SA,0.6709701563925532
JBSS3.SA,1.2507281069173455
JHSF3.SA,2.382918277273148
KLBN11.SA,0.6164513110589901
LAME3.SA,0.7924715592813317
LAME4.SA,0.717948932394941
LCAM3.SA,3.2712501767088757
LIGT3.SA,0.8431012475450221
LINX3.SA,1.2435604537978011
LREN3.SA,1.2740168108503687
MDIA3.SA,0.16430908399415178
MGLU3.SA,-0.32622837790382586
MOVI3.SA,1.2760620718488742
MRFG3.SA,1.308674748521297
MRVE3.SA,1.3939082935094709
MULT3.SA,0.5509314319908936
NEOE3.SA,0.21764220787013389
NTCO3.SA,0.49913772492708797
PCAR3.SA,1.4711279894649754
PETR3.SA,1.0092117331449668
PETR4.SA,1.1258523961301452
PRIO3.SA,4.01604606593004
PSSA3.SA,1.026413657399846
QUAL3.SA,1.2322258768790662
RADL3.SA,1.0287526471816864
RAIL3.SA,1.472784675527135
RAPT4.SA,2.0849594057693515
RENT3.SA,2.3359640392306575
SANB11.SA,0.8050016454862804
SAPR11.SA,-0.18473743160355827
SBSP3.SA,0.8811064791496807
SULA11.SA,1.4226680294144582
SUZB3.SA,1.3011135529159699
TAEE11.SA,0.9041212032117772
TIMS3.SA,0.023396258084279253
TOTS3.SA,0.846002389525161
TRPL4.SA,0.9820479725850992
UGPA3.SA,0.011028342807431146
USIM5.SA,1.740851814283145
VALE3.SA,1.5773175527953467
VIVT3.SA,0.6735100254400604
VVAR3.SA,2.5027692098687346
WEGE3.SA,2.1993904532488164
YDUQ3.SA,1.3779572754366338
